subsample,F1_score,Recall,Precision,AUC,Avg_Best_Iteration
0.5,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.55,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.6,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.65,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.7,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.75,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.8,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.85,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.9,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
0.95,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
1.0,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
