min_child_samples,F1_score,Recall,Precision,AUC,Avg_Best_Iteration
10,0.4534526863364404,0.8094708516071408,0.3149728254126333,0.8527911614056546,352.4
15,0.4536985454921549,0.8131101924904671,0.3146623678911624,0.8528586358543151,284.8
20,0.45388431537027396,0.8113980464679547,0.31508702636038965,0.8524816952494086,322.2
25,0.45228353473237715,0.8105415154187041,0.313684750048082,0.8528218647370268,263.6
30,0.45380901624900966,0.808828453320203,0.31540850451904207,0.8527315816320694,338.4
35,0.45462999909244584,0.8116121792302671,0.3157768127530205,0.8527156369377465,335.0
40,0.4532756028578124,0.8101132498940787,0.31470528659299013,0.8529156497946471,308.2
45,0.45428162287136614,0.8109697809433293,0.3155456502132698,0.8528421698452775,315.6
50,0.4529609882137227,0.812682155984839,0.3140243520731585,0.8527867736437382,248.6
55,0.4535450916811885,0.8107551901430223,0.3148777672876342,0.8530835669727821,314.0
60,0.45495043302891053,0.8105417444377011,0.3162506343967234,0.8529775136314871,320.6
65,0.4535776485473516,0.8086145495768875,0.3152099159036341,0.8530248034176617,318.2
70,0.4537871677370884,0.8116128662872585,0.31497600332586384,0.8527197134456014,275.2
75,0.4542363287943979,0.8116128662872585,0.3154041690151499,0.8529428751312051,309.6
80,0.4546061846455979,0.8128976628611344,0.31557369393846246,0.8531151656830455,286.8
85,0.45485371924502055,0.8111843717436361,0.3160728317236277,0.8531202705527484,305.2
90,0.4540702552637096,0.811826770030574,0.3152303829971571,0.8530883011204564,276.6
95,0.4555827413541082,0.8128974338421372,0.3165083401361048,0.852826462345009,309.8
100,0.454208636851118,0.811826770030574,0.31534781349883595,0.8530270517223848,296.6
105,0.4558456048719157,0.8126835300988218,0.3167936930289805,0.8530788780477717,311.6
110,0.4541774519631809,0.8090444182344927,0.3157450534406915,0.8527701235877567,302.6
115,0.45434608780271607,0.8103271536373942,0.31570153669370826,0.8532371469409791,327.0
120,0.45512469704897873,0.8111850588006275,0.31634687987015275,0.8531603080575278,328.2
125,0.454123765130109,0.8105426605136896,0.3154587312413366,0.8530314217784175,317.8
130,0.4549948777001921,0.8099002622267516,0.3163954637261822,0.8530490633980399,337.2
135,0.4542479289132757,0.8122557226121906,0.3153200596895905,0.8528587676335654,295.8
140,0.45529330101675747,0.812683988136816,0.3162703685219827,0.8531835527323841,303.4
145,0.4537463824472863,0.8103296728463626,0.315136054296914,0.8530585043971666,285.6
150,0.4546149634054081,0.8126844461748103,0.3156242557240875,0.853119840617954,285.2
